aware	알고 있는
away	떨어져서
awesome	무서운
awful	두려운
awkward	어색한
baby	갓난아이, 막내 관심사, 골치아픈 일,
back	등
background	배경
bad	나쁜
badly	나쁘게, 심하게
baggage	수화물
baggy	헐렁한
bake	굽다
balance	균형
bald	대머리의
ball	공
balloon	기구
ban	금지
band	그룹
bang	강타
banish	~로 추방하다
bank	둑
bankrupt	파산자
banner	현수막
banquet	연회
bar	막대기
bare	벌거벗은
barely	거의-하지 않는, 간신히
bargain	매매
bark	짖다
barn	헛간
barrel	통, 배럴
barrier	장벽
barrier	울타리, 장애물
barring	~이 없다면, ~을 제외하고
base	기초
baseball	야구
basement	기초
basic	기본의
basin	대야,접시
basis	기초
basket	바구니
basketball	농구
bat	배트
bath	목욕
bathroom	욕실
battery	전지
battle	전투
bay	만
be	-이다
beach	해안
beam	광선
bean	콩
bear	나르다
beard	턱수염
beast	짐승
beat	치다
beauty	아름다움
because	왜냐하면
become	-이 되다
bed	침대
bedroom	침실 성적인
bee	꿀벌
beef	쇠고기
beer	맥주
before	앞에
beg	청하다
begin	시작하다
behalf	위함
behave	행동하다
behavior	행동
behind	뒤에
belated	때늦은
belief	믿음, 신념
believe	믿다
bell	종
belong	속하다
belonging	소유물, 소속
beloved	매우 사랑하는
below	아래에
bend	구부리다
beneath	-의 바로 아래에
beneficent	인정 많은
beneficial	유익한, 이로운
benefit	이익
berry	액과
beside	-옆에, -의 곁에
besides	게다가, ~을 제외하고
bet	걸다
betray	배반하다
between	-의 사이에 사이에
beverage	음료
bewilder	당황하게 하다
beyond	저편에
bias	치우침
bible	성서, 성경
bicycle	자전거 자전거를 타다
bid	입찰
big	큰
bilingual	2개 국어의
bill	계산서
billion	10억
bin	궤
bind	매다
biography	전기
biology	생물학
biotechnology	생명공학
bird	새
birth	출생
birthday	생일
bishop	주교
bit	작은 조각
bite	물다
bitter	쓴
black	검은
blame	책망하다
blank	공백
blanket	담요
blast	돌풍
bleach	표백하다
bleed	피를 흘리다
blend	혼합하다
bless	축복하다
blind	눈먼
blink	(눈을)깜빡거리다
bliss	기쁨
block	덩어리
blonde	(살결이 흰)금발의 여성
blood	피
bloom	쇳덩이
blossom	(과수의)꽃
blow	강타
blue	푸른
blueprint	청사진
blunder	큰 실수
board	널빤지
boast	자랑하다
boat	배
body	신체
boil	끓다
bold	대담한
bomb	폭탄 폭격하다
bond	결속
bone	뼈
bonus	상여금, 보너스
book	책
boom	굉음
boost	뒤를 밀기
